Disease_UMLS,Disease_CUI,Symptom,Symptom_CUI
horner - syndrom,C0019937,miosis,C0026205
horner - syndrom,C0019937,ptosis,C0033377
horner - syndrom,C0019937,enophthalmus,C0014306
augenmigraene,C0338481,skotom,C0036454
augenmigraene,C0338481,schwindel,C0012833
augenmigraene,C0338481,augenmuskellaehmung,C0029089
morbus crohn,C0010346,sakroiliitis,C0574960
morbus crohn,C0010346,episkleritis,C0014583
morbus crohn,C0010346,keratitis,C0022568
morbus crohn,C0010346,nephrolithiasis,C0392525
morbus crohn,C0010346,anorexie,C0003123
morbus crohn,C0010346,fieber,C0015967
morbus crohn,C0010346,uebelkeit,C0027497
morbus crohn,C0010346,erbrechen,C0042963
morbus crohn,C0010346,unbeabsichtigter gewichtsverlust,C2363736
morbus crohn,C0010346,muedigkeit,C0015672
morbus crohn,C0010346,flatulenz,C0016204
morbus crohn,C0010346,diarrhoe,C0011991
morbus crohn,C0010346,erythema nodosum,C0014743
morbus crohn,C0010346,arthritis,C0003864
morbus crohn,C0010346,uveitis,C0042164
morbus crohn,C0010346,vaskulitis,C0042384
morbus crohn,C0010346,glomerulonephritis,C0017658
morbus crohn,C0010346,fettleber,C0015695
morbus crohn,C0010346,amyloidose,C0002726
morbus crohn,C0010346,chronische diarrhoe,C0401151
morbus crohn,C0010346,schmerzen im rechten unteren quadranten,C0694551
morbus crohn,C0010346,gastrointestinale fisteln,C0079238
morbus crohn,C0010346,analabszess,C0281778
morbus crohn,C0010346,anaemie,C0002871
morbus crohn,C0010346,acrodermatitis enteropathica,C0221036
morbus crohn,C0010346,enteropathische arthritis,C0151435
morbus crohn,C0010346,sakroiliitis,C0574960
morbus crohn,C0010346,arthralgie,C0003862
morbus crohn,C0010346,arthralgie,C0003862
morbus crohn,C0010346,uveitis,C0042164
morbus crohn,C0010346,iritis,C0022081
morbus crohn,C0010346,episkleritis,C0014583
morbus crohn,C0010346,erythema nodosum,C0014743
morbus crohn,C0010346,pyoderma gangraenosum,C0085652
morbus crohn,C0010346,stomatitis,C0038362
plasmazellmyelom,C0026764,"frakturen , pathologische",C0016663
plasmazellmyelom,C0026764,infektanfaelligkeit erhoeht,C0236171
plasmazellmyelom,C0026764,osteolyse,C0221204
plasmazellmyelom,C0026764,osteoporose,C0029456
plasmazellmyelom,C0026764,niereninsuffizienz,C1565489
plasmazellmyelom,C0026764,polyneuropathie,C0152025
plasmazellmyelom,C0026764,muedigkeit,C0015672
plasmazellmyelom,C0026764,dyspnoe,C0013404
plasmazellmyelom,C0026764,thrombozytopenie,C0040034
plasmazellmyelom,C0026764,leukozytopenie,C0023530
plasmazellmyelom,C0026764,hyperkalzaemie,C0020437
plasmazellmyelom,C0026764,proteinurie,C0033687
plasmazellmyelom,C0026764,"immunglobuline , leichtketten",C0021038
plasmazellmyelom,C0026764,anaemie,C0002871
kolorektales karzinom,C1527249,unbeabsichtigter gewichtsverlust,C2363736
kolorektales karzinom,C1527249,fieber,C0015967
kolorektales karzinom,C1527249,blutungsanaemie,C0948824
kolorektales karzinom,C1527249,abgeschlagenheit,C0015672
kolorektales karzinom,C1527249,muedigkeit,C0015672
kolorektales karzinom,C1527249,blut im stuhl,C1321898
kolorektales karzinom,C1527249,ileus,C1258215
kolorektales karzinom,C1527249,unbeabsichtigter gewichtsverlust,C2363736
kolorektales karzinom,C1527249,abgeschlagenheit,C0015672
kolorektales karzinom,C1527249,blaesse,C0030232
kolorektales karzinom,C1527249,anaemie,C0002871
myasthenia gravis,C0026896,myopathie,C0026848
myasthenia gravis,C0026896,myopathie,C0026848
myasthenia gravis,C0026896,muskelschwaeche,C0151786
myasthenia gravis,C0026896,skoliose,C0036439
myasthenia gravis,C0026896,ptosis,C0033377
myasthenia gravis,C0026896,diplopie,C0012569
myasthenia gravis,C0026896,dysphagie,C0011168
myasthenia gravis,C0026896,dysarthrie,C0013362
myasthenia gravis,C0026896,dyspnoe,C0013404
myasthenia gravis,C0026896,fazialisparese,C0376175
"arthritis , rheumatoide",C0003873,bruechige naegel,C0546956
"arthritis , rheumatoide",C0003873,palmarerythem,C0014745
"arthritis , rheumatoide",C0003873,polyarthritis,C0162323
"arthritis , rheumatoide",C0003873,tendovaginitis,C0039520
"arthritis , rheumatoide",C0003873,bursitis,C0006444
"arthritis , rheumatoide",C0003873,bewegungsschmerz,C2363726
"arthritis , rheumatoide",C0003873,schwellung,C0038999
"arthritis , rheumatoide",C0003873,muskelatrophie,C0026846
"arthritis , rheumatoide",C0003873,abgeschlagenheit,C0015672
"arthritis , rheumatoide",C0003873,nachtschweiss,C0028081
"arthritis , rheumatoide",C0003873,nachtschweiss,C0028081
anaemie,C0002871,muedigkeit,C0015672
anaemie,C0002871,kopfschmerzen,C0018681
anaemie,C0002871,belastungsdyspnoe,C0231807
anaemie,C0002871,sinustachykardie,C0039239
anaemie,C0002871,schwindel,C0012833
synkope,C0039070,bewusstlosigkeit,C0041657
synkope,C0039070,schwindel,C0012833
synkope,C0039070,blaesse,C0030232
multiple sklerose,C0026769,optikusneuritis,C0029134
multiple sklerose,C0026769,kribbeln,C0016579
multiple sklerose,C0026769,sensibilitaetsstoerungen der haut,C0012766
multiple sklerose,C0026769,ataxie,C0004134
multiple sklerose,C0026769,retrobulbaerneuritis,C0085582
multiple sklerose,C0026769,augenschmerzen,C0151827
multiple sklerose,C0026769,optikusatrophie,C0029124
multiple sklerose,C0026769,doppelbildersehen,C0012569
multiple sklerose,C0026769,abduzensparese,C0271355
multiple sklerose,C0026769,augenmuskellaehmung,C0029089
multiple sklerose,C0026769,nystagmus,C0028738
multiple sklerose,C0026769,depression,C0011570
multiple sklerose,C0026769,spastischer gang,C0231687
multiple sklerose,C0026769,ataxie,C0004134
multiple sklerose,C0026769,spastik,C0026838
multiple sklerose,C0026769,intentionstremor,C0234376
multiple sklerose,C0026769,nystagmus,C0028738
multiple sklerose,C0026769,trigeminusneuralgie,C0040997
multiple sklerose,C0026769,erektile dysfunktion,C0242350
multiple sklerose,C0026769,euphorie,C0235146
multiple sklerose,C0026769,optikusneuritis,C0029134
multiple sklerose,C0026769,sensibilitaetsstoerungen der haut,C0012766
multiple sklerose,C0026769,doppelbildersehen,C0012569
multiple sklerose,C0026769,paraesthesien und dysaesthesien,C0852415
multiple sklerose,C0026769,hypaesthesie,C0020580
multiple sklerose,C0026769,paraesthesien und dysaesthesien,C0852415
multiple sklerose,C0026769,ataxie,C0004134
multiple sklerose,C0026769,intentionstremor,C0234376
multiple sklerose,C0026769,nystagmus,C0028738
multiple sklerose,C0026769,harndrang,C0085606
multiple sklerose,C0026769,inkontinenz,C0021167
multiple sklerose,C0026769,harnverhalt,C0080274
hypokaliaemie,C0020621,paralysen und paresen ( ausschl . hirnnerven ),C1697844
hypokaliaemie,C0020621,obstipation,C0009806
hypokaliaemie,C0020621,rhabdomyolyse,C0035410
chronisch venoese insuffizienz,C1306557,varizen,C0042345
chronisch venoese insuffizienz,C1306557,oedem,C0013604
chronisch venoese insuffizienz,C1306557,paraesthesien und dysaesthesien,C0852415
chronisch venoese insuffizienz,C1306557,oedem,C0013604
chronisch venoese insuffizienz,C1306557,purpura,C0034150
chronisch venoese insuffizienz,C1306557,haemosiderose,C0019114
chronisch venoese insuffizienz,C1306557,hyperpigmentierung,C0162834
chronisch venoese insuffizienz,C1306557,dermatosklerose,C0011644
chronisch venoese insuffizienz,C1306557,lipodermatosklerose,C0406500
chronisch venoese insuffizienz,C1306557,atrophie blanche,C1306862
chronisch venoese insuffizienz,C1306557,stauungsekzem,C0011620
chronisch venoese insuffizienz,C1306557,pruritus,C0033774
chronisch venoese insuffizienz,C1306557,blaesse,C0030232
chronisch venoese insuffizienz,C1306557,zyanose,C0010520
cholelithiasis,C0008350,uebelkeit,C0027497
cholelithiasis,C0008350,druckgefuehl,C0234222
cholelithiasis,C0008350,nausea,C0027497
cholelithiasis,C0008350,voellegefuehl,C3714614
cholelithiasis,C0008350,erbrechen,C0042963
cholelithiasis,C0008350,meteorismus,C1291077
cholelithiasis,C0008350,uebelkeit,C0027497
cholelithiasis,C0008350,erbrechen,C0042963
cholelithiasis,C0008350,voellegefuehl,C3714614
cholelithiasis,C0008350,meteorismus,C1291077
hyperthyreose,C0020550,struma,C0018021
hyperthyreose,C0020550,symptom von gereiztheit,C0022107
hyperthyreose,C0020550,schlaflosigkeit,C0917801
hyperthyreose,C0020550,sinustachykardie,C0039239
hyperthyreose,C0020550,heisshunger,C0006370
hyperthyreose,C0020550,schwitzen,C0038990
hyperthyreose,C0020550,myopathie,C0026848
hyperthyreose,C0020550,osteoporose,C0029456
hyperthyreose,C0020550,fettleber,C0015695
hyperthyreose,C0020550,ophthalmopathie nnb,C0015397
hyperthyreose,C0020550,exophthalmus,C0015300
hyperthyreose,C0020550,sinustachykardie,C0039239
hyperthyreose,C0020550,unruhe,C3887611
hyperthyreose,C0020550,schlafstoerungen,C0851578
hyperthyreose,C0020550,arrhythmien,C0003811
hyperthyreose,C0020550,hypertonie,C0020538
hyperthyreose,C0020550,tremor,C0040822
hyperthyreose,C0020550,unbeabsichtigter gewichtsverlust,C2363736
hyperthyreose,C0020550,myasthenie,C0947912
hyperthyreose,C0020550,diarrhoe,C0011991
hyperthyreose,C0020550,alopezie,C0002170
hyperthyreose,C0020550,unruhe,C3887611
hyperthyreose,C0020550,unbeabsichtigter gewichtsverlust,C2363736
hyperthyreose,C0020550,hypertonie,C0020538
hyperthyreose,C0020550,diarrhoe,C0011991
meningitis,C0025289,leukozytose,C0023518
meningitis,C0025289,nackenschmerzen,C0007859
meningitis,C0025289,erbrechen,C0042963
meningitis,C0025289,verwirrtheit,C0009676
meningitis,C0025289,fieber,C0015967
meningitis,C0025289,kopfschmerzen,C0018681
meningitis,C0025289,uebelkeit,C0027497
meningitis,C0025289,nackensteifigkeit,C0151315
meningitis,C0025289,opisthotonus,C0151818
meningitis,C0025289,bewusstseinsstoerungen ane,C0947927
meningitis,C0025289,apathie,C0085632
meningitis,C0025289,kraempfe,C0026821
meningitis,C0025289,stauungspapille,C0030353
meningitis,C0025289,lichtscheu,C0085636
meningitis,C0025289,petechien,C0031256
meningitis,C0025289,kopfschmerzen,C0018681
meningitis,C0025289,fieber,C0015967
meningitis,C0025289,meningismus,C0025287
meningitis,C0025289,bewusstseinsstoerungen ane,C0947927
meningitis,C0025289,rueckenschmerzen,C0004604
meningitis,C0025289,uebelkeit,C0027497
chronische niereninsuffizienz,C0022661,kopfschmerzen,C0018681
chronische niereninsuffizienz,C0022661,verwirrtheit,C0009676
chronische niereninsuffizienz,C0022661,kraempfe,C0026821
chronische niereninsuffizienz,C0022661,hyperkaliaemie,C0020461
chronische niereninsuffizienz,C0022661,lungenoedem,C0034063
chronische niereninsuffizienz,C0022661,foetor ex ore,C0018520
chronische niereninsuffizienz,C0022661,pruritus,C0033774
chronische niereninsuffizienz,C0022661,anaemie,C0002871
chronische niereninsuffizienz,C0022661,bewusstlosigkeit,C0041657
chronische niereninsuffizienz,C0022661,oedem,C0013604
nephrotisches syndrom,C0027726,aszites,C0003962
nephrotisches syndrom,C0027726,infektanfaelligkeit erhoeht,C0236171
nephrotisches syndrom,C0027726,hypertonie,C0020538
nephrotisches syndrom,C0027726,niereninsuffizienz,C1565489
nephrotisches syndrom,C0027726,kreatinin hoch,C0151578
nephrotisches syndrom,C0027726,cholesterin hoch,C1522133
nephrotisches syndrom,C0027726,triglyzeride hoch,C0020557
nephrotisches syndrom,C0027726,hypercholesterinaemie,C0020443
nephrotisches syndrom,C0027726,lipidurie,C0392178
nephrotisches syndrom,C0027726,oedem,C0013604
nephrotisches syndrom,C0027726,proteinurie,C0033687
uraemie,C0041948,somnolenz,C0013144
uraemie,C0041948,amnesie,C0002622
uraemie,C0041948,zeitlich - oertliche desorientierung,C1737242
uraemie,C0041948,singultus,C0019521
uraemie,C0041948,hirnoedem,C0006114
uraemie,C0041948,amaurose,C0376288
uraemie,C0041948,amblyopie,C0002418
uraemie,C0041948,anorexie,C0003123
uraemie,C0041948,aszites,C0003962
uraemie,C0041948,gastritis,C0017152
uraemie,C0041948,ulcus ventriculi,C0038358
uraemie,C0041948,"sekundaerer hyperparathyreoidismus , anderenorts nicht klassifiziert",C0494305
uraemie,C0041948,amenorrhoe,C0002453
uraemie,C0041948,impotenz,C0242350
uraemie,C0041948,anaemie,C0002871
uraemie,C0041948,infektanfaelligkeit erhoeht,C0236171
uraemie,C0041948,perikarditis,C0031046
uraemie,C0041948,hiv - kardiomyopathie,C2721728
uraemie,C0041948,hypertonie,C0020538
uraemie,C0041948,lungenoedem,C0034063
uraemie,C0041948,pleuritis,C0032231
uraemie,C0041948,pruritus,C0033774
uraemie,C0041948,amyloidose,C0002726
hypothyreose,C0020676,muedigkeit,C0015672
hypothyreose,C0020676,psychomotorische verlangsamung,C0424230
hypothyreose,C0020676,blaesse,C0030232
hypothyreose,C0020676,gewichtszunahme,C0043094
hypothyreose,C0020676,kardiomegalie,C0018800
hypothyreose,C0020676,hypercholesterinaemie,C0020443
hypothyreose,C0020676,myopathie,C0026848
hypothyreose,C0020676,infertilitaet,C0021359
hypothyreose,C0020676,depression,C0011570
hypothyreose,C0020676,hypothermie,C0020672
hypothyreose,C0020676,hypoventilation,C3203358
hypothyreose,C0020676,hypotonie,C0020649
hypothyreose,C0020676,angeborene hypothyreose ohne struma,C0342151
hypothyreose,C0020676,abgeschlagenheit,C0015672
hypothyreose,C0020676,trockene haut,C0151908
hypothyreose,C0020676,alopezie,C0002170
hypothyreose,C0020676,bradykardie,C0428977
hypothyreose,C0020676,myxoedem,C0027145
hypothyreose,C0020676,obstipation,C0009806
hypothyreose,C0020676,fettstoffwechselstoerungen,C0154251
tuberkulose,C0041296,husten,C0010200
tuberkulose,C0041296,lymphadenopathie,C0497156
tuberkulose,C0041296,dyspnoe,C0013404
tuberkulose,C0041296,fieber,C0015967
tuberkulose,C0041296,nachtschweiss,C0028081
tuberkulose,C0041296,unbeabsichtigter gewichtsverlust,C2363736
tuberkulose,C0041296,inappetenz,C0232462
tuberkulose,C0041296,unbeabsichtigter gewichtsverlust,C2363736
tuberkulose,C0041296,nachtschweiss,C0028081
tuberkulose,C0041296,abgeschlagenheit,C0015672
tuberkulose,C0041296,belastungsdyspnoe,C0231807
akutes abdomen,C0235295,nausea,C0027497
akutes abdomen,C0235295,kolik,C0232488
akutes abdomen,C0235295,erbrechen,C0042963
pulmonale hypertonie,C0020542,sinustachykardie,C0039239
pulmonale hypertonie,C0020542,schwindel,C0012833
pulmonale hypertonie,C0020542,chronische stauungsleber,C0156195
pulmonale hypertonie,C0020542,dyspnoe,C0013404
pulmonale hypertonie,C0020542,husten,C0010200
pulmonale hypertonie,C0020542,angina pectoris,C0002962
pulmonale hypertonie,C0020542,muedigkeit,C0015672
pulmonale hypertonie,C0020542,oedem,C0013604
pulmonale hypertonie,C0020542,zyanose,C0010520
granulomatose mit polyangiitis,C3495801,sinusitis,C0037199
granulomatose mit polyangiitis,C3495801,otitis,C0029877
granulomatose mit polyangiitis,C3495801,mastoiditis,C0024904
granulomatose mit polyangiitis,C3495801,episkleritis,C0014583
granulomatose mit polyangiitis,C3495801,arthralgie,C0003862
granulomatose mit polyangiitis,C3495801,periphere neuropathie,C0031117
granulomatose mit polyangiitis,C3495801,fieber,C0015967
granulomatose mit polyangiitis,C3495801,unbeabsichtigter gewichtsverlust,C2363736
granulomatose mit polyangiitis,C3495801,nachtschweiss,C0028081
granulomatose mit polyangiitis,C3495801,rhinitis,C0035455
granulomatose mit polyangiitis,C3495801,ulzerationen ane,C2609241
granulomatose mit polyangiitis,C3495801,vaskulitis,C0042384
hypoglykaemie,C0020615,zittern,C0542247
hypoglykaemie,C0020615,schwitzen,C0038990
hypoglykaemie,C0020615,palpitationen,C0030252
hypoglykaemie,C0020615,sinustachykardie,C0039239
hypoglykaemie,C0020615,heisshunger,C0006370
hypoglykaemie,C0020615,blaesse,C0030232
hypoglykaemie,C0020615,heisshunger,C0006370
hypoglykaemie,C0020615,uebelkeit,C0027497
hypoglykaemie,C0020615,erbrechen,C0042963
hypoglykaemie,C0020615,schwaeche,C3714552
hypoglykaemie,C0020615,unruhe,C3887611
hypoglykaemie,C0020615,schwitzen,C0038990
hypoglykaemie,C0020615,sinustachykardie,C0039239
hypoglykaemie,C0020615,tremor,C0040822
hypoglykaemie,C0020615,mydriasis,C0026961
hypoglykaemie,C0020615,hypertonie,C0020538
hypoglykaemie,C0020615,tachypnoe,C0231835
hypoglykaemie,C0020615,kopfschmerzen,C0018681
hypoglykaemie,C0020615,endokrines karzinom,C1704374
hypoglykaemie,C0020615,reizbarkeit,C0022107
hypoglykaemie,C0020615,automatismen,C0004377
hypoglykaemie,C0020615,grimassieren,C0239779
hypoglykaemie,C0020615,doppelbildersehen,C0012569
hypoglykaemie,C0020615,somnolenz,C0013144
depression,C0011570,dysthymie,C0013415
depression,C0011570,depressive verstimmung,C0011570
depression,C0011570,muedigkeit,C0015672
aszites,C0003962,meteorismus,C1291077
phaeochromozytom,C0031511,hypertonie,C0020538
phaeochromozytom,C0031511,kopfschmerzen,C0018681
phaeochromozytom,C0031511,schwitzen,C0038990
phaeochromozytom,C0031511,palpitationen,C0030252
phaeochromozytom,C0031511,tremor,C0040822
phaeochromozytom,C0031511,unruhe,C3887611
phaeochromozytom,C0031511,abdominalschmerzen,C0000737
phaeochromozytom,C0031511,blaesse,C0030232
phaeochromozytom,C0031511,glukosurie,C0017979
phaeochromozytom,C0031511,leukozytose,C0023518
phaeochromozytom,C0031511,unbeabsichtigter gewichtsverlust,C2363736
phaeochromozytom,C0031511,hypermetabolismus,C0342952
phaeochromozytom,C0031511,vasokonstriktion,C0042396
phaeochromozytom,C0031511,sinustachykardie,C0039239
phaeochromozytom,C0031511,glykogenolyse,C0596624
ikterus,C0022346,leberzirrhose,C0023890
ikterus,C0022346,hepatitis,C0019158
glomerulonephritis,C0017658,nephrotisches syndrom,C0027726
glomerulonephritis,C0017658,proteinurie,C0033687
glomerulonephritis,C0017658,oedem,C0013604
glomerulonephritis,C0017658,hyperlipoproteinaemie,C0020476
glomerulonephritis,C0017658,hypertonie,C0020538
hypotonie,C0020649,schwindel,C0012833
hypotonie,C0020649,orthostatische dysregulation,C3203485
hypotonie,C0020649,sinustachykardie,C0039239
hypotonie,C0020649,kopfschmerzen,C0018681
hypotonie,C0020649,blaesse,C0030232
hypotonie,C0020649,tremor,C0040822
aortendissektion,C0340643,schlaganfall,C0038454
aortendissektion,C0340643,anurie,C0003460
aortendissektion,C0340643,querschnittslaehmung,C0030486
aortendissektion,C0340643,thoraxschmerz,C0008031
aortendissektion,C0340643,angina pectoris,C0002962
aortendissektion,C0340643,rueckenschmerzen,C0004604
aortendissektion,C0340643,todesangst,C0235106
aortendissektion,C0340643,herzbeuteltamponade,C0007177
aortendissektion,C0340643,schock,C0036974
tonsillitis,C0040425,foetor ex ore,C0018520
tonsillitis,C0040425,lymphadenopathie,C0497156
skabies,C0036262,pruritus,C0033774
rechtsherzinsuffizienz,C0235527,zyanose,C0010520
rechtsherzinsuffizienz,C0235527,oedem,C0013604
rechtsherzinsuffizienz,C0235527,aszites,C0003962
rechtsherzinsuffizienz,C0235527,hepatomegalie,C0019209
rechtsherzinsuffizienz,C0235527,splenomegalie,C0038002
rechtsherzinsuffizienz,C0235527,pleuraerguss,C0032227
rechtsherzinsuffizienz,C0235527,nykturie,C0028734
herpes zoster dermatitis,C0854330,blaeschen,C1622418
herpes zoster dermatitis,C0854330,ekzema herpeticatum,C0022504
benigne prostatahyperplasie,C1704272,pollakisurie,C0042023
benigne prostatahyperplasie,C1704272,nykturie,C0028734
pankreaskarzinom,C0235974,unbeabsichtigter gewichtsverlust,C2363736
pankreaskarzinom,C0235974,rueckenschmerzen,C0004604
pankreaskarzinom,C0235974,ikterus,C0022346
pankreaskarzinom,C0235974,thrombophlebitis migrans,C0152250
pankreaskarzinom,C0235974,uebelkeit,C0027497
pankreaskarzinom,C0235974,brauner urin,C1142277
pankreaskarzinom,C0235974,courviosier - zeichen,C1168162
pankreaskarzinom,C0235974,pruritus,C0033774
pankreaskarzinom,C0235974,diarrhoe,C0011991
pankreaskarzinom,C0235974,steatorrhoe,C0038238
pankreaskarzinom,C0235974,appetitlosigkeit,C0003123
pankreaskarzinom,C0235974,voellegefuehl,C3714614
pankreaskarzinom,C0235974,meteorismus,C1291077
pankreaskarzinom,C0235974,unbeabsichtigter gewichtsverlust,C2363736
pankreaskarzinom,C0235974,rueckenschmerzen,C0004604
pankreaskarzinom,C0235974,glukoseintoleranz,C0271650
pankreaskarzinom,C0235974,ikterus,C0022346
pankreaskarzinom,C0235974,diarrhoe,C0011991
pankreaskarzinom,C0235974,steatorrhoe,C0038238
pankreaskarzinom,C0235974,unbeabsichtigter gewichtsverlust,C2363736
pankreaskarzinom,C0235974,ikterus,C0022346
pankreaskarzinom,C0235974,abdominalschmerzen,C0000737
pankreaskarzinom,C0235974,inappetenz,C0232462
pankreaskarzinom,C0235974,pruritus,C0033774
pankreaskarzinom,C0235974,appetitlosigkeit,C0003123
pankreaskarzinom,C0235974,unbeabsichtigter gewichtsverlust,C2363736
pankreaskarzinom,C0235974,uebelkeit,C0027497
pankreaskarzinom,C0235974,ikterus,C0022346
pankreaskarzinom,C0235974,diarrhoe,C0011991
pankreaskarzinom,C0235974,rueckenschmerzen,C0004604
pankreaskarzinom,C0235974,pruritus,C0033774
pankreaskarzinom,C0235974,hydrops der gallenblase,C0152445
diabetes insipidus,C0011848,polyurie,C0032617
diabetes insipidus,C0011848,polydipsie,C0085602
hyperkalzaemie,C0020437,uebelkeit,C0027497
hyperkalzaemie,C0020437,erbrechen,C0042963
hyperkalzaemie,C0020437,obstipation,C0009806
hyperkalzaemie,C0020437,nephrolithiasis,C0392525
hyperkalzaemie,C0020437,nephrokalzinose,C0027709
hyperkalzaemie,C0020437,polyurie,C0032617
hyperkalzaemie,C0020437,polydipsie,C0085602
hyperkalzaemie,C0020437,somnolenz,C0013144
hyperkalzaemie,C0020437,koma,C0009421
Pfeiffersches Druesenfieber,C0021345,fieber,C0015967
Pfeiffersches Druesenfieber,C0021345,mundgeruch,C0018520
Pfeiffersches Druesenfieber,C0021345,pharyngitis,C0031350
Pfeiffersches Druesenfieber,C0021345,lymphadenopathie,C0497156
Pfeiffersches Druesenfieber,C0021345,angina tonsillaris,C0031157
eisenmangelanaemie,C0162316,pruritus,C0033774
eisenmangelanaemie,C0162316,unruhe,C3887611
eisenmangelanaemie,C0162316,dyspnoe,C0013404
eisenmangelanaemie,C0162316,schwaeche,C3714552
eisenmangelanaemie,C0162316,kopfschmerzen,C0018681
eisenmangelanaemie,C0162316,sinustachykardie,C0039239
eisenmangelanaemie,C0162316,belastungsdyspnoe,C0231807
eisenmangelanaemie,C0162316,muedigkeit,C0015672
eisenmangelanaemie,C0162316,tinnitus,C0040264
eisenmangelanaemie,C0162316,abgeschlagenheit,C0015672
eisenmangelanaemie,C0162316,schwindel,C0012833
eisenmangelanaemie,C0162316,palpitationen,C0030252
eisenmangelanaemie,C0162316,schlafstoerungen,C0851578
eisenmangelanaemie,C0162316,kopfschmerzen,C0018681
morbus hodgkin,C0852445,pruritus,C0033774
morbus hodgkin,C0852445,splenomegalie,C0038002
morbus hodgkin,C0852445,hepatomegalie,C0019209
morbus hodgkin,C0852445,fieber,C0015967
morbus hodgkin,C0852445,nachtschweiss,C0028081
morbus hodgkin,C0852445,unbeabsichtigter gewichtsverlust,C2363736
morbus hodgkin,C0852445,abgeschlagenheit,C0015672
morbus hodgkin,C0852445,lymphadenopathie,C0497156
morbus reiter,C0035012,"arthritis , reaktive",C0085435
morbus reiter,C0035012,urethritis,C0041976
morbus reiter,C0035012,konjunktivitis,C0009763
morbus reiter,C0035012,konjunktivitis,C0009763
morbus reiter,C0035012,urethritis,C0041976
morbus reiter,C0035012,arthritis,C0003864
morbus reiter,C0035012,konjunktivitis,C0009763
morbus reiter,C0035012,urethritis,C0041976
morbus reiter,C0035012,arthritis,C0003864
schock,C0036974,zyanose,C0010520
schock,C0036974,oligurie,C0028961
schock,C0036974,tachypnoe,C0231835
mukoviszidose,C0010674,husten,C0010200
mukoviszidose,C0010674,bronchiektasen,C0006267
mukoviszidose,C0010674,emphysem,C0013990
mukoviszidose,C0010674,pankreasinsuffizienz,C0030293
mukoviszidose,C0010674,diarrhoe,C0011991
mukoviszidose,C0010674,kachexie,C0006625
mukoviszidose,C0010674,zirrhose,C1623038
mukoviszidose,C0010674,cholelithiasis,C0008350
mukoviszidose,C0010674,infertilitaet,C0021359
mukoviszidose,C0010674,mekoniumileus,C2939175
mukoviszidose,C0010674,obstruktion,C0028778
endokarditis,C0014118,fieber,C0015967
endokarditis,C0014118,herzgeraeusche,C0018808
endokarditis,C0014118,anorexie,C0003123
endokarditis,C0014118,haematurie,C0018965
Raynaud,C0034734,blaesse,C0030232
Raynaud,C0034734,akrozyanose,C0221347
Raynaud,C0034734,ischaemie,C0022116
Raynaud,C0034734,zyanose,C0010520
Raynaud,C0034734,hyperaemie,C0020452
Raynaud,C0034734,schmerzen nnb,C0030193
Schizophrenie,C0036341,verfolgungswahn,C1096426
Schizophrenie,C0036341,liebeswahn,C0022492
Schizophrenie,C0036341,beziehungswahn,C0233682
Schizophrenie,C0036341,gedankeneingebung,C0233687
Schizophrenie,C0036341,gedankenentzug,C0233686
Schizophrenie,C0036341,gedankenausbreitung,C0233688
Schizophrenie,C0036341,wahn,C0011253
Schizophrenie,C0036341,euphorie,C0235146
Schizophrenie,C0036341,affektive ambivalenz,C4049320
Schizophrenie,C0036341,autismus,C0004352
Schizophrenie,C0036341,depersonalisation,C0011551
Schizophrenie,C0036341,derealisation,C0233754
Schizophrenie,C0036341,halluzinationen,C0018524
Schizophrenie,C0036341,wahnideen,C0011253
Schizophrenie,C0036341,katatonie,C0007398
subarachnoidalblutung,C0038525,kopfschmerzen,C0018681
subarachnoidalblutung,C0038525,meningismus,C0025287
subarachnoidalblutung,C0038525,bewusstseinsstoerungen ane,C0947927
subarachnoidalblutung,C0038525,erbrechen,C0042963
subarachnoidalblutung,C0038525,hypotonie,C0020649
"hepatitis , alkoholische",C0019187,fettleber,C0015695
polycythaemia,C0032461,erythrozytose,C1527405
polycythaemia,C0032461,ldh,C0202113
polycythaemia,C0032461,basophilie,C0702266
polycythaemia,C0032461,roetung,C0041834
polycythaemia,C0032461,pruritus,C0033774
polycythaemia,C0032461,erythromelalgie,C0014804
polycythaemia,C0032461,schwindel,C0012833
polycythaemia,C0032461,kopfschmerzen,C0018681
polycythaemia,C0032461,muedigkeit,C0015672
polycythaemia,C0032461,epistaxis,C0014591
polycythaemia,C0032461,sehstoerungen,C0547030
polycythaemia,C0032461,hypertonie,C0020538
morbus behcet,C0004943,pseudofollikulitis,C0406191
morbus behcet,C0004943,erythema nodosum,C0014743
morbus behcet,C0004943,vaskulitis,C0042384
morbus behcet,C0004943,uveitis anterior,C0042165
morbus behcet,C0004943,uveitis posterior,C0042167
morbus behcet,C0004943,arthritis,C0003864
morbus behcet,C0004943,chron ulcera haut ( inkl varikoes ),C0157738
morbus behcet,C0004943,vaskulitis,C0042384
morbus behcet,C0004943,aphthen,C0038363
morbus behcet,C0004943,uveitis,C0042164
delir,C0011206,bewusstseinsstoerungen ane,C0947927
delir,C0011206,orientierungsstoerung,C0233407
delir,C0011206,akathisie,C0392156
delir,C0011206,agitiertheit,C0085631
delir,C0011206,halluzinationen,C0018524
delir,C0011206,tremor,C0040822
delir,C0011206,hypertonie,C0020538
delir,C0011206,sinustachykardie,C0039239
delir,C0011206,hyperthermie,C0015967
orthostasesyndrom,C0020651,hypotonie,C0020649
orthostasesyndrom,C0020651,schwindel,C0012833
